task_id,tool_name,success,reliability_score,reliability_method
1,tool_a,1,1.0,sliding_window
2,tool_a,1,1.0,sliding_window
3,tool_a,1,1.0,sliding_window
4,tool_a,1,1.0,sliding_window
5,tool_a,1,1.0,sliding_window
6,tool_a,1,1.0,sliding_window
7,tool_a,1,1.0,sliding_window
8,tool_a,1,1.0,sliding_window
9,tool_a,1,1.0,sliding_window
10,tool_a,1,1.0,sliding_window
11,tool_a,1,1.0,sliding_window
12,tool_a,1,1.0,sliding_window
13,tool_a,1,1.0,sliding_window
14,tool_a,1,1.0,sliding_window
15,tool_a,1,1.0,sliding_window
16,tool_a,1,1.0,sliding_window
17,tool_a,1,1.0,sliding_window
18,tool_a,1,1.0,sliding_window
19,tool_a,1,1.0,sliding_window
20,tool_a,1,1.0,sliding_window
21,tool_a,1,1.0,sliding_window
22,tool_a,1,1.0,sliding_window
23,tool_a,1,1.0,sliding_window
24,tool_a,1,1.0,sliding_window
25,tool_a,0,0.9,sliding_window
26,tool_a,1,0.9,sliding_window
27,tool_a,1,0.9,sliding_window
28,tool_a,1,0.9,sliding_window
29,tool_a,0,0.8,sliding_window
30,tool_a,0,0.7,sliding_window
31,tool_a,0,0.6,sliding_window
32,tool_a,0,0.5,sliding_window
33,tool_a,1,0.5,sliding_window
34,tool_a,0,0.4,sliding_window
35,tool_a,1,0.5,sliding_window
36,tool_a,1,0.5,sliding_window
37,tool_a,0,0.4,sliding_window
38,tool_a,0,0.3,sliding_window
39,tool_a,0,0.3,sliding_window
40,tool_a,1,0.4,sliding_window
41,tool_a,0,0.4,sliding_window
42,tool_a,1,0.5,sliding_window
43,tool_a,1,0.5,sliding_window
44,tool_a,1,0.6,sliding_window
45,tool_a,1,0.6,sliding_window
46,tool_a,1,0.6,sliding_window
47,tool_a,1,0.7,sliding_window
48,tool_a,1,0.8,sliding_window
49,tool_a,0,0.8,sliding_window
50,tool_a,1,0.8,sliding_window
51,tool_a,0,0.8,sliding_window
52,tool_a,0,0.7,sliding_window
53,tool_a,0,0.6,sliding_window
54,tool_a,0,0.5,sliding_window
55,tool_a,0,0.4,sliding_window
56,tool_a,0,0.3,sliding_window
57,tool_a,1,0.3,sliding_window
58,tool_a,0,0.2,sliding_window
59,tool_a,1,0.3,sliding_window
60,tool_a,0,0.2,sliding_window
61,tool_a,0,0.2,sliding_window
62,tool_a,0,0.2,sliding_window
63,tool_a,0,0.2,sliding_window
64,tool_a,0,0.2,sliding_window
65,tool_a,0,0.2,sliding_window
66,tool_a,0,0.2,sliding_window
67,tool_a,0,0.1,sliding_window
68,tool_a,1,0.2,sliding_window
69,tool_a,0,0.1,sliding_window
70,tool_a,0,0.1,sliding_window
71,tool_a,0,0.1,sliding_window
72,tool_a,0,0.1,sliding_window
73,tool_a,0,0.1,sliding_window
74,tool_a,0,0.1,sliding_window
75,tool_a,0,0.1,sliding_window
76,tool_a,1,0.2,sliding_window
77,tool_a,1,0.3,sliding_window
78,tool_a,1,0.3,sliding_window
79,tool_a,1,0.4,sliding_window
80,tool_a,1,0.5,sliding_window
81,tool_a,1,0.6,sliding_window
82,tool_a,1,0.7,sliding_window
83,tool_a,1,0.8,sliding_window
84,tool_a,1,0.9,sliding_window
85,tool_a,1,1.0,sliding_window
86,tool_a,1,1.0,sliding_window
87,tool_a,0,0.9,sliding_window
88,tool_a,1,0.9,sliding_window
89,tool_a,1,0.9,sliding_window
90,tool_a,1,0.9,sliding_window
91,tool_a,1,0.9,sliding_window
92,tool_a,1,0.9,sliding_window
93,tool_a,1,0.9,sliding_window
94,tool_a,1,0.9,sliding_window
95,tool_a,1,0.9,sliding_window
96,tool_a,1,0.9,sliding_window
97,tool_a,0,0.9,sliding_window
98,tool_a,1,0.9,sliding_window
99,tool_a,0,0.8,sliding_window
100,tool_a,1,0.8,sliding_window
1,tool_a,1,0.65,ewma
2,tool_a,1,0.755,ewma
3,tool_a,1,0.8285,ewma
4,tool_a,1,0.87995,ewma
5,tool_a,1,0.915965,ewma
6,tool_a,1,0.941175,ewma
7,tool_a,1,0.958823,ewma
8,tool_a,1,0.971176,ewma
9,tool_a,1,0.979823,ewma
10,tool_a,1,0.985876,ewma
11,tool_a,1,0.990113,ewma
12,tool_a,1,0.993079,ewma
13,tool_a,1,0.995156,ewma
14,tool_a,1,0.996609,ewma
15,tool_a,1,0.997626,ewma
16,tool_a,1,0.998338,ewma
17,tool_a,1,0.998837,ewma
18,tool_a,1,0.999186,ewma
19,tool_a,1,0.99943,ewma
20,tool_a,1,0.999601,ewma
21,tool_a,1,0.999721,ewma
22,tool_a,1,0.999805,ewma
23,tool_a,1,0.999863,ewma
24,tool_a,1,0.999904,ewma
25,tool_a,0,0.699933,ewma
26,tool_a,1,0.789953,ewma
27,tool_a,1,0.852967,ewma
28,tool_a,1,0.897077,ewma
29,tool_a,0,0.627954,ewma
30,tool_a,0,0.439568,ewma
31,tool_a,0,0.307697,ewma
32,tool_a,0,0.215388,ewma
33,tool_a,1,0.450772,ewma
34,tool_a,0,0.31554,ewma
35,tool_a,1,0.520878,ewma
36,tool_a,1,0.664615,ewma
37,tool_a,0,0.46523,ewma
38,tool_a,0,0.325661,ewma
39,tool_a,0,0.227963,ewma
40,tool_a,1,0.459574,ewma
41,tool_a,0,0.321702,ewma
42,tool_a,1,0.525191,ewma
43,tool_a,1,0.667634,ewma
44,tool_a,1,0.767344,ewma
45,tool_a,1,0.837141,ewma
46,tool_a,1,0.885998,ewma
47,tool_a,1,0.920199,ewma
48,tool_a,1,0.944139,ewma
49,tool_a,0,0.660897,ewma
50,tool_a,1,0.762628,ewma
51,tool_a,0,0.53384,ewma
52,tool_a,0,0.373688,ewma
53,tool_a,0,0.261581,ewma
54,tool_a,0,0.183107,ewma
55,tool_a,0,0.128175,ewma
56,tool_a,0,0.089722,ewma
57,tool_a,1,0.362806,ewma
58,tool_a,0,0.253964,ewma
59,tool_a,1,0.477775,ewma
60,tool_a,0,0.334442,ewma
61,tool_a,0,0.23411,ewma
62,tool_a,0,0.163877,ewma
63,tool_a,0,0.114714,ewma
64,tool_a,0,0.0803,ewma
65,tool_a,0,0.05621,ewma
66,tool_a,0,0.039347,ewma
67,tool_a,0,0.027543,ewma
68,tool_a,1,0.31928,ewma
69,tool_a,0,0.223496,ewma
70,tool_a,0,0.156447,ewma
71,tool_a,0,0.109513,ewma
72,tool_a,0,0.076659,ewma
73,tool_a,0,0.053661,ewma
74,tool_a,0,0.037563,ewma
75,tool_a,0,0.026294,ewma
76,tool_a,1,0.318406,ewma
77,tool_a,1,0.522884,ewma
78,tool_a,1,0.666019,ewma
79,tool_a,1,0.766213,ewma
80,tool_a,1,0.836349,ewma
81,tool_a,1,0.885444,ewma
82,tool_a,1,0.919811,ewma
83,tool_a,1,0.943868,ewma
84,tool_a,1,0.960707,ewma
